province	city_name	city_level
北京市	北京市市辖区	一线城市
上海市	上海市市辖区	一线城市
广东省	广州市	一线城市
广东省	深圳市	一线城市
四川省	成都市	新一线城市
浙江省	杭州市	新一线城市
重庆市	重庆市市辖区	新一线城市
湖北省	武汉市	新一线城市
陕西省	西安市	新一线城市
江苏省	苏州市	新一线城市
天津市	天津市市辖区	新一线城市
江苏省	南京市	新一线城市
湖南省	长沙市	新一线城市
河南省	郑州市	新一线城市
广东省	东莞市	新一线城市
山东省	青岛市	新一线城市
辽宁省	沈阳市	新一线城市
浙江省	宁波市	新一线城市
云南省	昆明市	新一线城市
江苏省	无锡市	二线城市
广东省	佛山市	二线城市
安徽省	合肥市	二线城市
辽宁省	大连市	二线城市
福建省	福州市	二线城市
福建省	厦门市	二线城市
黑龙江省	哈尔滨市	二线城市
山东省	济南市	二线城市
浙江省	温州市	二线城市
广西壮族自治区	南宁市	二线城市
吉林省	长春市	二线城市
福建省	泉州市	二线城市
河北省	石家庄市	二线城市
贵州省	贵阳市	二线城市
江西省	南昌市	二线城市
浙江省	金华市	二线城市
江苏省	常州市	二线城市
江苏省	南通市	二线城市
浙江省	嘉兴市	二线城市
山西省	太原市	二线城市
江苏省	徐州市	二线城市
广东省	惠州市	二线城市
广东省	珠海市	二线城市
广东省	中山市	二线城市
浙江省	台州市	二线城市
山东省	烟台市	二线城市
甘肃省	兰州市	二线城市
浙江省	绍兴市	二线城市
海南省	海口市	二线城市
江苏省	扬州市	二线城市
广东省	汕头市	三线城市
浙江省	湖州市	三线城市
江苏省	盐城市	三线城市
山东省	潍坊市	三线城市
河北省	保定市	三线城市
江苏省	镇江市	三线城市
河南省	洛阳市	三线城市
江苏省	泰州市	三线城市
新疆维吾尔自治区	乌鲁木齐市	三线城市
山东省	临沂市	三线城市
河北省	唐山市	三线城市
福建省	漳州市	三线城市
江西省	赣州市	三线城市
河北省	廊坊市	三线城市
内蒙古自治区	呼和浩特市	三线城市
安徽省	芜湖市	三线城市
广西壮族自治区	桂林市	三线城市
宁夏回族自治区	银川市	三线城市
广东省	揭阳市	三线城市
海南省	三亚市	三线城市
贵州省	遵义市	三线城市
广东省	江门市	三线城市
山东省	济宁市	三线城市
福建省	莆田市	三线城市
广东省	湛江市	三线城市
四川省	绵阳市	三线城市
江苏省	淮安市	三线城市
江苏省	连云港市	三线城市
山东省	淄博市	三线城市
湖北省	宜昌市	三线城市
河北省	邯郸市	三线城市
江西省	上饶市	三线城市
广西壮族自治区	柳州市	三线城市
浙江省	舟山市	三线城市
陕西省	咸阳市	三线城市
江西省	九江市	三线城市
湖南省	衡阳市	三线城市
山东省	威海市	三线城市
福建省	宁德市	三线城市
安徽省	阜阳市	三线城市
湖南省	株洲市	三线城市
浙江省	丽水市	三线城市
河南省	南阳市	三线城市
湖北省	襄阳市	三线城市
黑龙江省	大庆市	三线城市
河北省	沧州市	三线城市
河南省	信阳市	三线城市
湖南省	岳阳市	三线城市
河南省	商丘市	三线城市
广东省	肇庆市	三线城市
广东省	清远市	三线城市
安徽省	滁州市	三线城市
福建省	龙岩市	三线城市
湖北省	荆州市	三线城市
安徽省	蚌埠市	三线城市
河南省	新乡市	三线城市
辽宁省	鞍山市	三线城市
湖南省	湘潭市	三线城市
安徽省	马鞍山市	三线城市
福建省	三明市	三线城市
广东省	潮州市	三线城市
广东省	梅州市	三线城市
河北省	秦皇岛市	三线城市
福建省	南平市	三线城市
吉林省	吉林市	三线城市
安徽省	安庆市	三线城市
山东省	泰安市	三线城市
江苏省	宿迁市	三线城市
内蒙古自治区	包头市	三线城市
湖南省	郴州市	三线城市
广东省	韶关市	四线城市
湖南省	常德市	四线城市
安徽省	六安市	四线城市
广东省	汕尾市	四线城市
青海省	西宁市	四线城市
广东省	茂名市	四线城市
河南省	驻马店市	四线城市
河北省	邢台市	四线城市
四川省	南充市	四线城市
江西省	宜春市	四线城市
云南省	大理白族自治州	四线城市
云南省	丽江市	四线城市
吉林省	延边朝鲜族自治州	四线城市
浙江省	衢州市	四线城市
贵州省	黔东南苗族侗族自治州	四线城市
江西省	景德镇市	四线城市
河南省	开封市	四线城市
云南省	红河哈尼族彝族自治州	四线城市
广西壮族自治区	北海市	四线城市
湖北省	黄冈市	四线城市
山东省	东营市	四线城市
湖南省	怀化市	四线城市
广东省	阳江市	四线城市
山东省	菏泽市	四线城市
贵州省	黔南布依族苗族自治州	四线城市
安徽省	宿州市	四线城市
山东省	日照市	四线城市
湖北省	黄石市	四线城市
河南省	周口市	四线城市
山西省	晋中市	四线城市
河南省	许昌市	四线城市
西藏自治区	拉萨市	四线城市
辽宁省	锦州市	四线城市
黑龙江省	佳木斯市	四线城市
安徽省	淮南市	四线城市
江西省	抚州市	四线城市
辽宁省	营口市	四线城市
云南省	曲靖市	四线城市
黑龙江省	齐齐哈尔市	四线城市
黑龙江省	牡丹江市	四线城市
广东省	河源市	四线城市
四川省	德阳市	四线城市
湖南省	邵阳市	四线城市
